"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6032","Login to Application","chromium","2026-09-17","passed","2026-09-17","","smoke\login.spec.js","",""
"","8407","login to application 3","firefox","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","3512","Login to Application","webkit","2026-09-17","passed","2026-09-17","","smoke\login.spec.js","",""
"","2967","login to application 4","webkit","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","9325","login to application 4","firefox","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","5689","login to application 2","chromium","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","11809","Login to Application","firefox","2026-09-17","passed","2026-09-17","","smoke\login.spec.js","",""
"","4155","login to application 1","webkit","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","21076","Login to Application","webkit","2026-09-17","failed","2026-09-17","","smoke\userdata.spec.js","",""
"","5121","login to application 3","chromium","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","5429","login to application 4","chromium","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","6644","login to application 2","firefox","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","27135","Login to Application","firefox","2026-09-17","failed","2026-09-17","","smoke\userdata.spec.js","",""
"","6138","login to application 1","chromium","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","31156","Login to Application","chromium","2026-09-17","broken","2026-09-17","","smoke\userdata.spec.js","",""
"","3039","login to application 3","webkit","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","11939","login to application 1","firefox","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
"","2672","login to application 2","webkit","2026-09-17","passed","2026-09-17","","smoke\different_user.spec.js","",""
